Symbol,Fecha,Precio_Apertura,Precio_Cierre,Precio_Maximo,Precio_Minimo
UBSFF,2024-01-05,24.25,24.25,24.25,24.25
UBSFF,2024-01-10,24.85,24.85,24.85,24.85
UBSFF,2024-01-11,24.3,23.8,24.3,23.8
UBSFF,2024-01-16,23.44,23.44,23.44,23.44
UBSFF,2024-01-17,21.83,21.83,21.83,21.83
UBSFF,2024-01-18,21.84,21.84,21.84,21.84
UBSFF,2024-01-19,22.0,20.85,22.0,20.85
UBSFF,2024-01-23,22.095,22.91,22.91,22.095
UBSFF,2024-01-25,22.55,22.55,22.55,22.55
UBSFF,2024-02-01,21.15,21.15,21.15,21.15
UBSFF,2024-02-05,21.08,21.08,21.08,21.08
UBSFF,2024-02-06,21.085,21.085,21.085,21.085
UBSFF,2024-02-08,21.27,22.0,22.87,21.27
UBSFF,2024-02-16,26.09,26.09,26.09,26.09
UBSFF,2024-02-20,25.2,25.2,25.2,25.2
UBSFF,2024-02-23,23.81,23.81,23.81,23.81
UBSFF,2024-02-27,23.8,23.8,23.8,23.8
UBSFF,2024-02-28,23.0,23.0,23.0,23.0
UBSFF,2024-02-29,22.8935,22.8935,22.8935,22.8935
UBSFF,2024-03-06,21.94,22.3,22.3,21.94
UBSFF,2024-03-07,21.89,21.89,21.89,21.89
UBSFF,2024-03-12,21.7,21.7,21.7,21.7
UBSFF,2024-03-14,20.55,20.58,20.58,20.55
UBSFF,2024-03-18,21.45,20.899,21.45,20.899
UBSFF,2024-03-20,20.49,20.34,20.49,20.34
UBSFF,2024-03-21,20.9,20.9,20.9,20.9
UBSFF,2024-03-26,21.05,20.88,21.05,20.88
UBSFF,2024-03-27,21.19,21.19,21.19,21.19
UBSFF,2024-04-05,21.31,21.31,21.31,21.31
UBSFF,2024-04-11,22.4465,21.99,22.4465,21.99
UBSFF,2024-04-15,21.46,21.46,21.46,21.46
UBSFF,2024-04-24,22.99,22.99,22.99,22.99
UBSFF,2024-04-29,23.7,23.7,23.7,23.7
UBSFF,2024-05-02,23.41,23.41,23.41,23.41
UBSFF,2024-05-06,23.865,23.865,23.865,23.865
UBSFF,2024-05-14,24.8,24.8,24.8,24.8
UBSFF,2024-05-16,22.695,22.59,22.695,22.01
UBSFF,2024-05-20,24.94,24.94,24.94,24.94
UBSFF,2024-05-22,23.38,23.38,23.38,23.38
UBSFF,2024-05-23,23.5,22.63,23.5,22.63
UBSFF,2024-05-28,23.675,23.675,23.675,23.675
UBSFF,2024-05-29,23.26,23.0,23.26,23.0
UBSFF,2024-06-03,25.0,25.0,25.0,25.0
UBSFF,2024-06-05,25.5,25.5,25.5,25.5
UBSFF,2024-06-06,25.25,25.55,25.55,25.25
UBSFF,2024-06-10,25.85,25.475,26.45,25.475
UBSFF,2024-06-11,24.56,24.225,25.0,24.225
UBSFF,2024-06-12,24.0,24.0,24.0,24.0
UBSFF,2024-06-13,23.89,23.89,23.89,23.89
UBSFF,2024-06-17,22.13,22.13,22.13,22.13
UBSFF,2024-06-20,23.0,23.0,23.0,23.0
UBSFF,2024-06-25,22.76,22.76,22.76,22.76
UBSFF,2024-06-26,21.788,21.788,21.788,21.788
UBSFF,2024-07-05,21.41,21.87,21.87,21.41
UBSFF,2024-07-09,24.225,24.225,24.225,24.225
UBSFF,2024-07-18,24.47,23.48,24.47,23.48
UBSFF,2024-07-19,21.06,21.06,21.06,21.06
UBSFF,2024-07-24,20.3,20.4768,20.4768,20.3
UBSFF,2024-08-05,19.19,19.19,19.19,19.19
UBSFF,2024-08-09,18.64,18.64,18.64,18.64
UBSFF,2024-08-12,18.7216,18.7216,18.7216,18.7216
UBSFF,2024-08-16,18.5,18.5,18.5,18.5
UBSFF,2024-08-19,18.97,19.5,19.5,18.97
UBSFF,2024-08-21,19.322,19.322,19.322,19.322
UBSFF,2024-08-28,19.33,19.33,19.33,19.33
UBSFF,2024-08-30,19.3,19.3,19.3,19.3
UBSFF,2024-09-06,16.885,16.35,16.885,16.35
UBSFF,2024-09-09,15.1,15.0809,15.1,15.0809
UBSFF,2024-09-10,14.68,14.5766,14.68,14.5766
UBSFF,2024-09-11,13.95,13.74,13.95,13.27
UBSFF,2024-09-12,13.28,13.0,13.28,13.0
UBSFF,2024-09-13,13.1,13.0,13.24,13.0
UBSFF,2024-09-16,13.19,12.65,13.19,12.65
UBSFF,2024-09-17,13.87,13.5,13.87,13.5
UBSFF,2024-09-18,14.0,14.18,14.25,14.0
UBSFF,2024-09-19,14.2,14.18,14.84,14.18
UBSFF,2024-09-20,14.0,14.44,14.5,14.0
UBSFF,2024-09-23,14.01,14.0,14.01,14.0
UBSFF,2024-09-24,13.99,13.99,13.99,13.99
UBSFF,2024-09-25,13.66,11.55,13.66,11.55
UBSFF,2024-09-26,10.73,11.28,11.65,10.3001
UBSFF,2024-09-27,11.68,12.0,12.28,11.65
UBSFF,2024-09-30,11.84,11.26,12.0,11.26
UBSFF,2024-10-01,11.5,12.0,12.0,11.5
UBSFF,2024-10-02,12.02,12.25,12.25,11.5
UBSFF,2024-10-03,11.625,11.7067,12.23,11.6
UBSFF,2024-10-04,12.0,15.65,15.65,12.0
UBSFF,2024-10-07,15.99,14.96,15.99,14.9
UBSFF,2024-10-09,15.0,15.4,15.45,14.5
UBSFF,2024-10-10,15.41,14.41,15.41,14.41
UBSFF,2024-10-11,14.32,14.32,14.32,14.32
UBSFF,2024-10-14,14.5,15.005,15.005,14.5
UBSFF,2024-10-16,14.26,14.3,14.3,14.25
UBSFF,2024-10-17,14.75,14.855,14.855,14.75
UBSFF,2024-10-18,14.86,14.86,14.86,14.86
UBSFF,2024-10-21,15.0,15.11,15.11,15.0
UBSFF,2024-10-23,15.3,15.3,15.3,15.3
UBSFF,2024-10-24,15.654,14.5,15.654,14.5
UBSFF,2024-10-25,14.6,14.65,14.65,14.6
UBSFF,2024-10-28,14.4201,14.5,15.12,14.4201
UBSFF,2024-10-29,15.0,15.0,15.0,15.0
UBSFF,2024-10-30,14.76,14.51,14.76,14.51
UBSFF,2024-10-31,15.49,14.85,15.49,14.85
UBSFF,2024-11-01,15.64,15.64,15.64,15.64
UBSFF,2024-11-04,15.57,15.57,15.57,15.57
UBSFF,2024-11-05,14.6437,14.6437,14.6437,14.6437
UBSFF,2024-11-06,14.3828,14.12,14.3828,14.12
UBSFF,2024-11-07,14.47,14.5,14.5,14.47
UBSFF,2024-11-11,14.6,14.1975,14.6,14.1975
UBSFF,2024-11-12,14.25,14.25,14.25,14.25
UBSFF,2024-11-13,14.1,14.1,14.1,14.1
UBSFF,2024-11-14,14.1,14.1,14.1,14.1
UBSFF,2024-11-15,14.1,14.1,14.1,14.1
UBSFF,2024-11-18,14.1,14.1,14.1,14.1
UBSFF,2024-11-21,13.0,13.83,13.83,12.95
UBSFF,2024-11-22,13.0,13.5,13.5,13.0
UBSFF,2024-11-25,13.5,13.795,13.795,13.5
UBSFF,2024-11-27,12.89,13.48,13.48,12.89
UBSFF,2024-11-29,13.75,13.183,13.75,13.183
UBSFF,2024-12-02,12.22,12.01,12.22,12.01
UBSFF,2024-12-05,12.39,12.45,12.45,12.39
UBSFF,2024-12-09,14.65,14.435,14.65,14.1
UBSFF,2024-12-10,13.96,13.99,13.99,13.96
UBSFF,2024-12-11,14.06,14.06,14.06,14.06
UBSFF,2024-12-12,13.0,13.0,13.0,13.0
UBSFF,2024-12-13,13.0,13.0,13.0,13.0
UBSFF,2024-12-16,13.0,13.17,13.22,13.0
UBSFF,2024-12-17,13.0,13.0,13.0,13.0
UBSFF,2024-12-18,13.0,13.0,13.0,13.0
UBSFF,2024-12-19,13.0,13.0,13.0,13.0
UBSFF,2024-12-20,13.0,13.0,13.0,13.0
UBSFF,2024-12-23,12.82,13.28,13.28,12.82
UBSFF,2024-12-24,13.0,13.5,13.5,13.0
UBSFF,2024-12-26,13.48,13.75,13.75,13.3
UBSFF,2024-12-30,13.71,13.445,13.75,13.4
UBSFF,2024-12-31,14.32,13.37,14.32,13.37
